title,link,source,published_date,snippet
DeepSeek is giving the world a window into Chinese censorship and information control,https://www.cnn.com/2025/01/29/china/deepseek-ai-china-censorship-moderation-intl-hnk/index.html,CNN,1 week ago,"Previously little-known Chinese startup DeepSeek has dominated headlines and app charts in recent days thanks to its new AI chatbot, which sparked a global..."
DeepSeek AI is now on top of Apple's App Store,https://mashable.com/article/deepseek-chatgpt-apple-app-store,Mashable,1 week ago,"Chinese AI assistant DeepSeek has risen to the top of Apple's App Store, surpassing OpenAI's ChatGPT."
Nvidia and Microsoft shares steady after DeepSeek AI app shock,https://www.bbc.com/news/articles/c4gpq01rvd4o,BBC,1 week ago,US tech stocks were steady on Tuesday after they slumped on Monday following the sudden rise of Chinese-made artificial intelligence (AI) app DeepSeek.
"Why China Startup DeepSeek Could Spell Trouble For Nvidia, AI Stocks",https://www.investors.com/news/technology/deepseek-ai-stocks-nvidia-artificial-intelligence-capital-spending/,Investor's Business Daily,1 week ago,China's DeepSeek startup roiled artificial intelligence-driven stocks on Monday as Wall Street mulled huge investments by technology industry giants.
"DeepSeek AI Disrupts Industry with Low-Cost, High-Performance Model",https://www.channelinsider.com/news-and-trends/deepseek-ai-model-disrupts-industry/,Channel Insider,6 days ago,"Chinese AI startup DeepSeek challenges OpenAI with a low-cost, high-performance model, raising industry, security, and regulatory concerns."
DeepSeek: Making Sense of the Reaction—and Overreaction,https://www.cfr.org/article/deepseek-making-sense-reaction-and-overreaction,Council on Foreign Relations,6 days ago,CFR fellows weigh in on the global reaction to the release of Chinese AI model DeepSeek and what it means for U.S.-China competition.
What is DeepSeek? How a small Chinese startup shook up the AI sector,https://www.usatoday.com/story/money/2025/01/27/what-is-deepseek-ai/77969863007/,USA Today,1 week ago,Stocks tumbled after a Chinese AI startup said its models can compete with the likes of ChatGPT and other U.S.-based models at a fraction of the cost.
What's the big deal with DeepSeek AI?,https://the-cfo.io/2025/01/30/whats-the-big-deal-with-deepseek-ai/,The CFO,1 week ago,"For years, artificial intelligence has followed a familiar script: Silicon Valley builds, Wall Street reacts, and the world takes note. But DeepSeek..."
DeepSeek: What lies under the bonnet of the new AI chatbot?,https://www.bbc.com/future/article/20250131-what-does-deepseeks-new-app-mean-for-the-future-of-ai,BBC,5 days ago,Tumbling stock market values and wild claims have accompanied the release of a new AI chatbot by a small Chinese company. What makes it so different?
Opinion | DeepSeek AI Is the Competition America Needs,https://www.wsj.com/opinion/deepseek-is-the-competition-america-needs-on-ai-china-futility-of-us-policy-subsidies-sanctions-13818a0a,WSJ,1 week ago,"The success of DeepSeek, the Chinese rival to American goliaths with radically more cost-effective artificial intelligence, reveals the futility of U.S...."
DeepSeek vs. ChatGPT fuels debate over AI building blocks,https://www.voanews.com/a/deepseek-vs-chatgpt-fuels-debate-over-ai-building-blocks/7958031.html,Voice of America English News,6 days ago,"When Chinese startup DeepSeek released its AI model this month, it was hailed as a breakthrough, a sign that China's artificial intelligence companies could..."
Taiwan bans government departments from using DeepSeek AI,https://www.reuters.com/technology/taiwan-bans-government-departments-using-deepseek-ai-2025-02-03/,Reuters,3 days ago,"Taiwan on Monday banned government departments from using Chinese startup DeepSeek's artificial intelligence (AI) service as it was a security risk,..."
DeepSeek’s Popular AI App Is Explicitly Sending US Data to China,https://www.wired.com/story/deepseek-ai-china-privacy-data/,WIRED,1 week ago,"Amid ongoing fears over TikTok, Chinese generative AI platform DeepSeek says it's sending heaps of US user data straight to its home country,..."
DeepSeek AI skyrockets in popularity; Alibaba and ChatGPT launch new AI models,https://www.usatoday.com/story/tech/news/2025/01/31/deepseek-ai-trump-wakeup-call/78097990007/,USA Today,6 days ago,"Competition is heating up for artificial intelligence — this time with a shakeup from the Chinese startup DeepSeek, which released an AI model that the..."
China's DeepSeek AI Model Shocks the World: Should You Sell Your Nvidia Stock?,https://www.fool.com/investing/2025/01/27/chinas-deepseek-ai-model-shocks-world-sell-nvidia/,The Motley Fool,1 week ago,"Could Nvidia's (NVDA 3.08%) magical two-year run be coming to an end? Up until now, there has been insatiable demand for Nvidia's latest and greatest..."
Dutch privacy watchdog to launch investigation into China's DeepSeek AI,https://www.reuters.com/technology/artificial-intelligence/dutch-privacy-watchdog-launch-investigation-into-chinas-deepseek-ai-2025-01-31/,Reuters,6 days ago,The Netherlands' privacy watchdog AP on Friday said it will launch an investigation into Chinese artificial intelligence firm DeepSeek's data collection...
7 Ways to Think About the DeepSeek AI Freak-out,https://nymag.com/intelligencer/article/deepseek-r1-ai-panic-impact-commentary-analysis.html,New York Magazine,1 week ago,"Last week, a Chinese AI company called DeepSeek triggered a shock wave of excitement and panic in the artificial-intelligence community after it released..."
Trump: DeepSeek's AI should be a 'wakeup call' to US industry,https://www.reuters.com/world/us/trump-deepseeks-ai-should-be-wakeup-call-us-industry-2025-01-27/,Reuters,1 week ago,U.S. President Donald Trump said on Monday that Chinese startup DeepSeek's technology should act as spur for American companies and said it was good that...
DeepSeek’s AI Restricted by ‘Hundreds’ of Companies in Days,https://www.insurancejournal.com/news/international/2025/01/31/810314.htm,Insurance Journal,6 days ago,Companies and government agencies around the world are moving to restrict their employees' access to the tools recently released by the Chinese...
DeepSeek AI claims services are facing ‘large-scale malicious attacks’,https://cyberscoop.com/deepseek-website-malicious-attack-ai-china/,CyberScoop,1 week ago,"As its low-cost AI model receives accolades, the Chinese company says ongoing attacks on its services are making it harder for new users to sign up."
Apple researchers reveal the secret sauce behind DeepSeek AI,https://www.zdnet.com/article/apple-researchers-reveal-the-secret-sauce-behind-deepseek-ai/,ZDNET,1 week ago,The AI model that shook the world is part of a broad trend to squeeze more out of chips using what's called sparsity.
"White House ""looking into"" national security implications of DeepSeek's AI",https://www.axios.com/2025/01/28/deepseek-ai-national-security-trump,Axios,1 week ago,"Trump called the Chinese startup's breakthroughs a ""wake-up call"" for the U.S. AI industry,"
What DeepSeek’s AI Did That Everyone Else’s Didn’t,https://gizmodo.com/what-deepseeks-ai-did-that-everyone-else-didnt-2000555731,Gizmodo,1 week ago,The Chinese AI company DeepSeek exploded into the news cycle over the weekend after it replaced OpenAI's ChatGPT as the most downloaded app on the Apple App...
Nvidia Reels After China’s A.I. Breakthrough,https://www.nytimes.com/2025/01/27/business/deepseek-nvidia-ai-chips.html,The New York Times,1 week ago,"Nvidia, which soared to the top of the stock market by selling the computer chips fueling the world's artificial intelligence boom, has been dealt a tough..."
DeepSeek Is a Win for China in the A.I. Race. Will the Party Stifle It?,https://www.nytimes.com/2025/02/02/world/asia/deepseek-china-ai-censorship.html,The New York Times,4 days ago,DeepSeek's success embodies China's ambitions in artificial intelligence. But it could also threaten the grip on power the nation's leaders hold.
Wiz researchers find sensitive DeepSeek data exposed to internet,https://cyberscoop.com/deepseek-ai-security-issues-wiz-research/,CyberScoop,1 week ago,"A security issue at Chinese artificial intelligence firm DeepSeek exposed over a million lines of sensitive internal data, according to Wiz."
DeepSeek leaves US AI firms racing to understand its success,https://www.reuters.com/technology/artificial-intelligence/american-ai-firms-try-poke-holes-disruptive-deepseek-2025-01-28/,Reuters,1 week ago,Developers at leading U.S. AI firms are praising the DeepSeek AI models that have leapt into prominence while also trying to poke holes in the notion that...
U.S. Navy bans use of DeepSeek due to 'security and ethical concerns',https://www.cnbc.com/2025/01/28/us-navy-restricts-use-of-deepseek-ai-imperative-to-avoid-using.html,CNBC,1 week ago,"The U.S. Navy issued a warning to its members to avoid using DeepSeek ""in any capacity,"" due to ""potential security and ethical concerns."""
Matt Egan explains why China's AI model is causing US stocks to drop,https://www.cnn.com/2025/01/27/business/video/deepseek-ai-model-r1-china-digvid,CNN,1 week ago,"CNN's Matt Egan reports on a new Chinese AI model called R1, which was created by the company DeepSeek. The R1 model is causing US stocks to drop and is..."
"DeepSeek AI is next year’s nightmare for Nvidia, today",https://sherwood.news/markets/deepseek-ai-is-next-years-nightmare-for-nvidia-today/,Sherwood News,1 week ago,Nvidia has uniquely high growth expectations for 2026 at a time of surging skepticism on the longevity of the AI capex boom....
How China’s new AI model DeepSeek is threatening U.S. dominance,https://www.cnbc.com/2025/01/24/how-chinas-new-ai-model-deepseek-is-threatening-us-dominance.html,CNBC,2 weeks ago,A little-known artificial intelligence lab out of China has ignited panic throughout Silicon Valley after releasing AI models that can outperform America's...
DeepSeek AI Fallout Spreads to Manufacturing Stocks. These Have the Most Risk.,https://www.barrons.com/articles/deepseek-ai-fallout-stocks-manufacturing-4f7cbc2b,Barron's,1 week ago,"Shares of Eaton, Schneider Electric, Trane, Amphenol, and others are all selling off after the Chinese AI app DeepSeek spooked investors."
Amazon Cloud Offers DeepSeek AI Models As Meta Open Source Rivalry Grows,https://www.investors.com/news/technology/amazon-stock-deepseek-meta-open-source-ai-model-rivalry/,Investor's Business Daily,6 days ago,"Amazon.com (AMZN) has joined Microsoft (MSFT) in offering access to Chinese startup DeepSeek's low-cost, open-source artificial intelligence training models..."
DeepSeek’s AI Model Just Upended the White-Hot US Power Market,https://www.bloomberg.com/news/articles/2025-01-28/deepseek-s-ai-model-just-upended-the-white-hot-us-power-market,Bloomberg,1 week ago,It took just a single day's trading for Chinese artificial intelligence company DeepSeek to upend the US power market's yearlong hot streak premised on a...
"AI Disruption: The DeepSeek Effect on Wall Street, Governments and Beyond",https://www.govtech.com/blogs/lohrmann-on-cybersecurity/ai-disruption-the-deepseek-effect-on-wall-street-governments-and-beyond,GovTech,4 days ago,The past week has been full of headlines regarding DeepSeek AI. So what lessons can we learn from this whirlwind of media stories and the corresponding...
China's DeepSeek may erase America's lead in AI. And wreck your 401(k). | Opinion,https://www.usatoday.com/story/opinion/2025/01/29/deepseek-ai-nvidia-stock-openai-google-meta/77992395007/,USA Today,1 week ago,China's DeepSeek narrows America's advantages on artificial intelligence and threatens U.S. tech companies' business models.
​How DeepSeek AI just changed the game for LLMs,https://www.thedrum.com/opinion/2025/01/27/how-deepseek-ai-just-changed-the-game-llms,The Drum,1 week ago,The Drum's Gordon Young reacts to the news that OpenAI has a new and surprising rival to contend with in China's DeepSeek.
"DeepSeek AI Is 'Good News' For Enterprise Software, Says SAP CEO",https://www.investors.com/news/technology/deepseek-ai-enterprise-software-sap-nvidia/,Investor's Business Daily,1 week ago,"DeepSeek's AI technology, which roiled the tech market this week, is 'good news' for enterprise software companies like SAP, its CEO said."
"Generator, advanced nuclear stocks reel as low-cost DeepSeek chills AI load growth outlook",https://www.utilitydive.com/news/ipp-stocks-reel-as-low-cost-deepseek-chills-ai-load-growth-thesis/738482/,Utility Dive,1 week ago,"Among the hardest hit were companies with large existing gas and nuclear fleets, along with advanced nuclear technology providers expected to benefit from..."
Do China’s A.I. Advances Mean U.S. Technology Controls Have Failed?,https://www.nytimes.com/2025/01/28/business/economy/deepseek-china-us-chip-controls.html,The New York Times,1 week ago,"DeepSeek's A.I. models show that China is making rapid gains in the field, despite American efforts to hinder it."
What DeepSeek’s AI Innovation Means For Investors And Big Tech,https://www.forbes.com/sites/garthfriesen/2025/01/29/deepseeks-ai-innovation-what-it-means-for-investors-and-big-tech/,Forbes,1 week ago,"Necessity drives innovation, and when resources are limited, creativity takes over. China's DeepSeek exemplifies this with its latest R1 open-source..."
Public DeepSeek AI database exposes API keys and other user data,https://www.zdnet.com/article/public-deepseek-ai-database-exposes-api-keys-and-other-user-data/,ZDNET,6 days ago,"Beyond investor and CEO panic, DeepSeek presents a host of security concerns. Here's what the experts think you should know."
Here Are the Stock Market Winners and Losers from the DeepSeek AI Upheaval,https://www.investopedia.com/stock-market-winners-and-losers-of-deepseek-ai-upheaval-nvda-meta-now-8783765,Investopedia,5 days ago,"AI stocks had a volatile week as Wall Street reckoned with the implications of a sophisticated, cost-efficient AI model from Chinese start-up DeepSeek."
Why Apple Stock Dodged the DeepSeek AI Rout,https://www.investopedia.com/why-apple-stock-dodged-deepseek-ai-rout-update-8781143,Investopedia,1 week ago,"Apple was one of the few mega-cap tech stocks rising on Monday amid a rout that sank shares of cloud hyperscalers, AI chip makers and nuclear power..."
DeepSeek just taught the AI industry 5 hard lessons,https://mashable.com/article/deepseek-ai-lessons,Mashable,1 week ago,"China's DeepSeek is teaching American AI companies like OpenAI, Google, Microsoft and Anthropic a series of hard-to-swallow lessons."
What Is DeepSeek and How Should It Change How You Invest in AI?,https://www.investopedia.com/deepseek-ai-investing-8782152,Investopedia,6 days ago,"The generative AI industry in the U.S. is getting a wake-up call, as are jittery investors who have seen their stocks rise with the AI boom in the last few..."
"As Nvidia Stock Rises, Here’s Why DeepSeek AI Worries Are Overblown",https://www.barrons.com/articles/nvidia-stock-deepseek-ai-99f63cf1,Barron's,1 week ago,Nvidia stock rises after the chip maker saw its market value drop by $593 billion on Monday—the biggest one-day drop for any listed company on record.
DeepSeek AI Chatbot,https://www.bc.edu/content/bc-web/offices/its/about/its-news/2025/deepseek-warning.html,Boston College,1 week ago,"Please be aware, due to data privacy concerns, the BC University Tech Acquisition process, also known as Get Tech, has placed the AI chatbot DeepSeek on the..."
What DeepSeek's Technology Could Mean for Tech Stocks | Investing,https://money.usnews.com/investing/articles/what-deepseek-ai-means-for-tech-stocks,US News Money,1 week ago,Chinese artificial intelligence startup DeepSeek rattled the U.S. technology sector after the company recently unveiled an AI model that is competitive with...
AI Stocks Tumble as Chinese DeepSeek’s AI Advances,https://www.morningstar.com/stocks/tech-stocks-slide-chinese-ai-disruption,Morningstar,1 week ago,Chip stocks and other AI-related plays take a hit as DeepSeek's AI model claims a reduced need for microchips.
Chinese tech startup DeepSeek says it was hit with ‘large-scale malicious attacks’,https://apnews.com/article/deepseek-ai-artificial-intelligence-be414acadbf35070d7645fe9fbd8f464,AP News,1 week ago,Chinese tech startup DeepSeek said it was hit by a cyber attack on Monday that disrupted users' ability to register on the site.
"DeepSeek’s AI Shockwave Hits Nvidia Hard, Wiping Out Billions",https://www.forbes.com/sites/greatspeculations/2025/02/03/deepseeks-ai-shockwave-hits-nvidia-hard-wiping-out-billions/,Forbes,3 days ago,"The artificial intelligence revolution is moving at lightning speed, and one of the biggest stories from last week underscores just how critical the..."
Interactive: DeepSeek AI bursts the bubble for US gas-fired power growth,https://www.spglobal.com/commodity-insights/en/news-research/latest-news/natural-gas/020325-interactive-us-ai-datacenters-power-natural-gas-demand,S&P Global,3 days ago,"On a chilly day in late January, obscure Chinese artificial intelligence company DeepSeek AI put the US natural gas market on its heels, breaking news that..."
DeepSeek: How China's 'AI heroes' overcame US curbs to stun Silicon Valley,https://www.bbc.com/news/articles/czepw096wy4o,BBC,1 week ago,"When ChatGPT stormed the world of artificial intelligence (AI), an inevitable question followed: did it spell trouble for China, America's biggest tech..."
DeepSeek shows AI's centre of power could shift away from US,https://www.bbc.com/news/articles/c9w5d9new0yo,BBC,1 week ago,"The app's strong debut has shaken beliefs that the US would remain the unchallenged global AI superpower, writes the BBC's Marc Cieslak."
Why is DeepSeek AI suddenly so popular?,https://bgr.com/tech/why-is-deepseek-ai-suddenly-so-popular/,Boy Genius Report,1 week ago,Chinese startup DeepSeek is the talk of the town as its affordable R1 models challenge the supremacy of ChatGPT.
IBM Could Win Big From DeepSeek's AI Disruption,https://www.fool.com/investing/2025/02/01/ibm-could-win-big-from-deepseeks-ai-disruption/,The Motley Fool,5 days ago,"International Business Machines (IBM -3.75%) has found an artificial intelligence (AI) strategy that works. While the tech giant is an AI pioneer,..."
